Reviews,Rating
A little improvement for perfection,4
Incredible return after to what extent,5
A Perfect Hotel with Amazing Hospitality,5
Great stay!,4
Wonderful experience,5
Wonderful small boutique hotel with the best views - AMAZING STAFF,5
Amazing breakfast!,5
Amazing view and super people!,5
FABULOUS,5
You can not beat the views from this hotel,5
"Relaxing, Picturesque, Quiet Retreat",5
Beautiful resort with incredible views of the sea,4
Amazing,5
Amazing people and customer service,5
Commitment to Customer Satisfaction and the Customer Experience,5
NO17 ... ,5
Amazing,5
couldn't be better!,5
Beautiful Hotel at Quieter end of the Island,5
Book it now!,5
Already want to go back!,5
A little slice of heaven,5
The man who never says no..,5
Santorini September 18,5
Best place in Akrotiri! Wonderful people.,5
the place to stay in Santorini,5
Heart of Gold,5
Beautiful hotel,4
5 stars for Apanemo *****,5
"Beautiful, boutique style hotel Mykonos",5
Just incredible! 🔥,5
Breathtaking view!,5
Awesome,5
Breathtaking Views/ Fabulous Servuce,5
Amazing! ,5
Wonderful Summer Vacation,5
Nice stay with reasonable price!,5
Excellent stay,5
Best hotel of Santorini!!,5
Truly above and beyond service,5
Ms,5
Best hospitality! ,5
Amazing Honeymoon stay,5
Great place ,5
Honeymoon Love Island,5
Mr sav,5
Savva,5
Apanemo 2018 from Sweden,5
Perfect honeymoon,5
Beautiful Hotel / Amazing Staff,5
Beautiful hotel,5
Excelent,5
Infinity Pool Overlooking The Caldera,4
Idyllic quiet escape in Santorini,5
Excellent !,5
Amazing Stay,5
Accomplished Apanemo,5
The best of Akrotiri,5
Pure & Majestic!,5
Perfect honeymoon ,5
Very Good Stay,5
Best ever,5
"Amazing, gorgeous, relaxing, the best hotel",5
Beautiful!,5
Perfeeeect,5
A perfect place for engagement ,5
Wonderful mini moon destination!,5
"Stunning, peaceful and great value",5
Fantastic hotel with extremely excellent service,5
Best hotel in the world,5
Fantastic!,5
"Professional service and beautiful view, in the quiet side of Santorini. The best place for real relaxing holidays!",5
Birthday celebration,5
Super GEM in Santorini,5
Amazing!,5
"Beautiful view, great people",5
My amazing stay at this piece of paradise,5
Wonderful,5
Friendliest Staff Ever,4
The infinite pool with this view <3,5
Amazing Hotel with an AMAZING staff.,5
Simply Amazing!,5
What an incredible place,5
Beautiful Hotel far from the lots of tourists,5
Amazing Santorini ,5
Apanemo - Santorini,5
Perfection... I had holiday blues the minute I left!,5
Wonderful 3 night stay ,5
The jewel of Santorini,5
Apanemo May 2018,5
Beautiful hotel with great sea view,5
Best accommodation in Santorini,5
Review,5
Great view of the caldera and an amazing pool but the room itself is quite basic,4
Paradise,5
Beautiful hotel with excellent service,5
The best!!,5
Perfection,5
Amazing ,5
Glorious blend of beauty and charm,5
The best hotel in Santorini ,5
Perfect experience,5
Immaculate,5
Stunning Apanemo Hotel,5
Amazing views,5
Love it here!,5
Home away from Home ,5
Fabulous refurbishments / improvements and impeccable service.,5
Easter in Santorini!,5
Unique!,5
"Very pleasant, out of tourist crush !",4
Unforgettable,5
Amazing experience!,5
WOW!  Great place to stay in Santorini!!!!,5
Lovely visit to Apanemo!,5
Apanemo is  a wonderful hotel,5
"Beautiful views, friendly service",4
Great hotel to stay - highly recommended ,5
Best on Island,5
Fabulous Hotel in Akrotiri,5
Rather good,3
"Perfect for a quiet, relaxing holiday",5
Best hotel I have ever stayed in!,5
Holiday,5
Memorable experience,5
Picturebook Honeymoon,5
Better than the best - outstanding!!!!,5
BEST Hotel ever,5
Amazing hotel! ,5
Fabulous views and staff,4
"Friendly staff, fantastic breakfast and lovely pool views",5
"Cozy, clean, affordable",5
Wonderful stay - should be a 4*! ,5
Speechless...,5
Beautiful honeymoon ,5
Not just friendly...,5
Best accomodation in santorini!,5
The best romantic getaway ever,5
A great spot...,5
Fantastic Hotel Fantastic staff Fantastic stay ,5
Wow!! ,5
Wonderful holiday at an amazingly located hotel with fantastic staff - Rob & Minnie,5
Unforgettable first holiday as a couple!,5
Familiar atmosphere and astonishing white,5
Perfect Stay at the Apanemo,5
Amazing ,5
The top choice in Santorini!!!,5
"A nice hotel, friendly staff.  Not oriented towards seniors or those with disabilities",4
Great place with lovely staf ,5
The greateat,5
Memorable!,4
Amazing,5
Excellent,5
Mind = blown. LOVED IT,5
LIKE FAMILY.....WITH LUXURY,5
Incredible Hotel & Superb Staff,5
Loved it,5
American ,5
Amazing,5
Sublime,5
Best hotel for best holiday,5
"Simply, Breathtaking. ",5
Hidden Gem ,5
A Wonderful Find!,5
Amazing start to honeymoon! ,5
Santorini crush ! ,5
Ms,5
Amazing! !,5
Excellent Hotel,5
5 stars,5
TOTAL RELAXATION WITH WONDERFULL STAFF,5
Best Vacation of my life.,5
Superb stay with a view!,5
A small jewel in Akrotiri,4
Superb stay,5
Awesome Hotel! Awesome Views! Awesome Staff!,5
Fabulous! Wish we would have stayed longer! ,5
Apanemo R & R,5
Practically perfect in every way!,5
"Great little hotel, views to die for!!",5
Lovely views and brilliant staff,5
Totally perfect! great honeymoon location :),5
Amazing Place!,5
Breathtaking views and friendly staff,4
"Fantastic hotel,charming staff  and wow factor views",5
Superb hotel and even better service. Amazing location. ,5
Amazing and beautiful hotel and holiday,5
Apanemo A-perfect.,5
Perfect!,5
Amazing holiday!!!,5
Santorini with Hearts,5
Amazingly Beautiful,5
"Amazing holiday,breathtaking views!!",5
i would definitely stay here again ,5
Great place and views,5
My visit to Santorini ,5
Amazing in every way,5
Amazing view,5
100% Amiability,5
Best Place on Earth,5
Good services !,5
Amazing stay at the Apanemo!,5
Shocking Views!,5
Appreciation,5
Extra ordinary,5
Amazing!,5
helpful staff of hotel,5
A Great Stay! Do not overlook - Great Value!!!,5
A piece of paradise,5
Mesmerizing view,3
best hotel,5
A wonderful Place!,5
Great hotel in Akrotiri,4
Amazing views and serene quiet and peaceful environment ,5
Excellent,5
Beautiful hotel with exceptional staff,5
Nice Hotel with Amazing Views.,4
Amazing view and relaxing atmosphere,5
Tranquil & lovely hotel,4
"Amazing views, huge potential, but too many drawbacks.",3
5 stars for Apanemo *****,5
"Beautiful setting, welcoming, clean",5
Paradise in Santorini,5
had an incredible stay!!!,5
Best vacation ever!,5
"Excellent location, great views and outstanding service!",5
Beautiful hotel,5
Paradise ,5
Simply Amazing,5
Great Location and greatest Service,5
Amazing View,5
Bad customer wervice,1
Completely dreamy!!! Stunning in every way ,5
A super Santorini experience,5
Beautiful Hotel at Akrotiri,5
"excellent staff, stunning view",5
Best hotel in Akrotiri. Period. ,5
Soothing,5
Best Holidays!!!,5
Spectacular views & amazing location!,5
VIEWS TO DIE FOR,5
Little piece of heaven on Earth,5
We miss it already! ,5
The perfect place for relaxing,5
"Nice location, excellent staff and stunning view",5
favourite hotel in the greek islands,5
"Beautiful, idyllic hotel-complex on the Kaldera with exceptional panorama ",5
Santorini's hidden gem,5
Beautiful views,5
An amazing view on Santorini,5
Best experience ever!!! ,5
Paradise,5
Nothing more,5
Very peaceful and relaxing accomodation,4
Look no further for a brilliant stay!,5
"Nice location, great view, nice service but...",3
stunning view and beautifully structured hotel,5
Great quiet location,4
Amazing views - lovey hotel,4
Perfect place for holiday in South of Santorini,5
"Wonderful Honeymoon, Small & Friendly",5
Fabulous stay in Akrotiri,5
Awesome_The best you can get in Santorini,5
Apanemo hotel,5
Amazing!!!,5
Apanemo Hotel,5
Fantastic no more then fantastic......!!!,5
Perfect retreat for a quite getaway,5
More than amazing!,5
Perfect,5
Simply Stunning,5
I'm in love!,5
AMAZING HOTEL AND PEOPLE!!!,5
Chilled out holiday,5
One night at Apanemo,5
Beautiful hotel - will return again and again ...,5
Unbeatable view and hospitality!!!!,5
"""A dream holiday""",5
Wonderful spring break,5
Traditional chic,5
"Love this hotel so much! very good price but excellent view, room and service.",5
A little gem! ,5
Infinity pool!,4
What a view,5
3rd summer at the Apanemo,5
Best value for money by far. Fully recommend!!!,5
opinion,5
Breathtaking!,5
A MUST TRY!!! ,5
We will go back,5
A great place to stay,5
Best choice ever!!,5
Nice,4
Great hotel,5
October Vacation ,4
"Kind, friendly and easy to contact! ",4
Perfect!,5
Great places to stay in Santorini,5
"Great View, Friendly staff but a bit far from anything",3
Wonderful place away from crowded Fira,5
Great Hospitality,4
Beautiful stay!,5
Top notch,5
Amazing place with friendly staff,5
Amazing Stay In Santorini!!!,4
"Wonderful, relaxing, beautiful",4
A Hidden Gem,5
Fabulous Family-Run Hotel,5
Great place and great staff,5
Excellent hotel,5
Ideal Santorini spot away from the crowds!,5
Loved this stay!,5
"Great Views, Nice Rooms and Excellent Service",5
Great value for price,5
"Lovely pool, lovely hotel, lovely staff",5
Stunning,5
Just what we needed for our family vacation,5
Could not have been better!,5
Simply OUTSTANDING!,5
Simply ama-zing in everyway!,5
The perfect stay for couple who wants to explore Santorini,5
It's not all about the view,5
Met our high expectations,5
Stylish and Comfortable ,5
Stayed for a week - wish it was longer!,5
Beautiful,5
"Great rooms, helpful and friendly staff, amazing views",5
"Great views, Great owners",5
Beautiful hotel,5
"A fantastic hotel, with amazing staff!",5
Extremely satisfied,5
"Amazing view, Great experience!!!",5
Vacation,5
Stunning View but dissapointing room.,3
Went way beyond high expectations!,5
Beautiful,5
Such a great find. Consider Akrotiri for your Santorini stay.,5
Love the view,5
Nice experience with some details to improve,3
Apanemo Hotel,5
Not Great,3
Phenomenal pool and relaxing place,5
"Best Place, Best People - Feels Like Home with a Stunning View",5
Stunning in every way!,5
"""Simply beautiful""",5
Apanemo was good to us!,5
"Fabulous place, people and view",5
Wonderful Place and People,5
Amazing transformation of refurbished apartments at Apanemo,5
Amazing view,5
"""A Beautiful Place""",5
Perfect Views,3
Superb experience,5
Excelent Choice for Santorini,5
Great value with superb views,5
Avoiding the cruise ship crowds,4
An amazing experience.,5
A different Santorini..,4
Loved this hotel,5
Amazing place and service,5
Oustanding,5
Everything is amazing about this place!,5
"Santorini: Tranquility, view, best-in-class service",5
Unforgettable,5
Impressive views in a quiet surrounding,5
"Great stay, just wish we could've spent more time there!",5
Apanemo reflects the spirit of Santorini,5
"Lovely place, lovely staff and lovely ownerfamily!",5
Perfect b&b,5
Great trip and hotel,5
Really loved it! Recommended place to relax,4
Great getaway,5
"Exhale, explore, enjoy, relax (while floating above the world)",5
A perfect start of our holiday!,5
"Excellent view, nice architecture, clean rooms",4
Good but not great,3
A dream called Apanemo...,5
Magical Apanemo....the people and the place!,5
Excellent!,5
"The best hotel ever, we will come back again, the view is soo great",5
Fantastic Place and Hosts!,5
Beautiful picture perfect place to stay,5
Best Place to Stay on Santorini,5
Even better than imagined!,5
Fantastic hotel great pool with a fab view.,5
Better than expected!,5
Feels like family,5
High expectations exceeded,5
Rooms with views and host with charm,5
Excellent hotel,5
Great host and view,4
Perfect,5
One of the nicest hotel I stayed in,5
Fantastic!,5
Very special place,5
One of the nicest places I have ever been!!!,5
WOW...!,5
Greek Charm and Stunning Views,5
In LOVE with the property and the family!,5
"Friendly service, lovely room, beautiful view",5
"Perfect view, just a bit out of town",4
picture perfect,5
Ideallic Stay on Santorini,5
Breathtaking views & Exceptional service,5
Paradise on earth,5
Fantastic hotel,5
"Exceptional views, rooms & service",5
"Beautiful hotel, location, view and absolutely client minded",5
Memorable stay in Santorini,5
"Wonderful location, friendly service and a view to die for",5
Apanemo is the ONLY place we will ever stay in Santorini,5
A little slice of heaven,5
Nice service before you arrive! Thank you Spiros!,5
"Outstanding place, outstanding host",5
"stylish, friendly & great caldera view",5
Best view on the island coupled with amazing service,5
"Amazing view, very far away from the center",4
Nice peacefull holiday,4
"Peaceful, serene, and beautiful",4
5 star luxury for 3 star price!,5
Beautiful Apanemo!,4
"Friendly, Clean Family Run Hotel with Amazing Views",5
"A nice hotel, good value, but with some improvement needed",4
Remote but beautiful.,4
"Incredible views, lovely place to stay",5
Amazing service and views!,5
Magnificent !!!,5
A truly lovely place,4
Windy but wonderful,5
Efkharistò Apanemo,5
"Great caldera view from the apartment, peaceful, friendly service",5
Little Bijoux in Santorini,5
Absolutely Amazing..,5
Beautiful place,5
Advisable place,5
Enjoyed my stay! Serene and beautiful.,5
perfect Santorini stay!,5
What a view!,5
unusual location unique view,3
Want to return again and again,5
Fantastic hotel for price! Recommended!,5
Fantastic experience!,4
Perfect,5
Apanemo in May 2012,5
Santorini just got better.,5
The truly amazing Greek experience,5
Apanemo Hotel In September,5
A Great Place to Stay,5
So far but SO good!,4
Watch my short Youtube Review on Apanemo,4
Summer Paradise,5
An unforgettable stay,5
Perfection,5
"Location, location, location......",4
best price/quality ratio on the island,5
Perfect for us,5
I wanna be back to Apanemo!,5
Stunning views over the ocean.,5
"Amazing scenery, nice place, decent location",5
"Great value,  people,and  view",5
Great value for money on Santorini,5
Stunning little hotel,4
"Lovely, but small and lacking privacy",4
Great Views,5
What an unbelievably fantastic experience!!!!!!!!,5
perhaps the best value for money on the island,5
"Nice B&B, Great views, Room a little rough around the edges.",4
"Excellent service, Great views",5
Makes Santorini proud!  Top notch lodging,5
"Amazing service, family, view",4
Spyros is the best!,5
My favorite place in possibly THE WORLD,5
Wonderful view & poor quality,3
Greek hospitality,4
Great Place with Great service,5
Wonderful hotel and wonderful staff,5
"Stop searching and book Apanemo, the best one the island",4
Great place to stay,5
Phantastic location,4
"Great hotel, great views,  an average location !!",4
Great Place to stay.,5
Santorni's best view,5
this place is magnifigent,5
AMAZING ... A DREAM!,5
Unforgetable Santorini,5
A place to be!,5
MOST BEAUTIFUL HOTEL STUNNING VIEWS AND SO PEACUFULL,5
Perfect holiday hotel in Santorini,5
Relaxing Environment,5
Stay here if you can,5
"Thank you, Spiros, for the most wonderful wedding!",5
Amazing Spot,5
This hotel was the location for our daughter's wedding in September so we could all stay at the wedding location.,5
Divine,5
Beautiful relaxing hotel with stunning views,4
HEAVEN 0N EARTH,5
Worth It!,4
Better than website,5
Fantastic hotel - hope to return,5
Perfect hospitality at the Apanemo,5
Amazing Views and Service!!,5
AMAZING APANEMO,5
Simply worth it.,5
"wonderful views, perfect quiet setting",5
Fabulous once again!,5
"Relaxing, wonderful views, infinity pool, clean rooms and friendly staff",5
A beautiful place to relax and enjoy the views.,5
"Beautiful views, relaxing get-away!",5
Speechless in Santorini!!,5
Well worth the 9 hour flight,5
"Perfectly excellent, highly recommended",5
A fantastic place - would like to keep it secret but that's not fair!,5
Fabulous hotel,5
Incredibly beautiful views with real WOW factor,5
perfect place to stay have fun and relax,4
Fantastic! Beautiful! Fabulous Costumer Service!!!,5
Breathtaking Views and a wonderful Property,5
Apanemo is a beautiful property with spectacular views.,5
A perfect destination,5
"Stunning,stunning,stunning",4
Talk about a room with a view!,5
"Excellent service, great location",5
A beautiful place with an incredible view,5
Amazing views - Friendly service,4
"Priceless view, great breakfast!",5
"Excellent view, loved the family, comfortable rooms!!",5
A gem and an oasis with the most dramatic views of the island at bargain prices,4
Amazing views and friendly atmosphere,5
First three nights - wonderful - last three nights ........,4
Charming and relaxing with excellent service,5
Are you looking for something special?,5
The Apanemo Hotel:  Total Relaxation,4
Good value but not convenient,4
The perfect stay,5
Generally ok....,4
The Perfect Place to Stay,5
Amazing,5
"If you are looking for paradise, you found it",5
Perfect getaway,5
A very special place,5
amazing hotel!,5
First stop on our honeymoon!,5
Next time we would book a hotel closer to Fira!,2
A quiet and relaxing corner of the island,5
3rd time around even better,5
Wonderful B&B in a Beautiful Setting,5
Wonderful stay,5
Apanemo was beautiful!,4
Spectacular view,4
Paradisiac location!,5
A fantastic place-like your home in Greece!,5
Perfection!,5
Simply Amazing!,5
Santorini as it was meant to be experienced.....,5
Amazing Hotel,5
Great stay!  Best breakfast view on Santorini.,5
Incredible views!,4
Perfection!,5
Stunning view and far from the madding crowd: wonderful!,5
amazing view,3
Enjoyed Apanemo's Views,4
loved it!,5
Truly Whimsical,5
Simply the Best .....,5
Absolutely wonderful,5
"Beautiful setting, Away from the maddening crowd",5
Wonderful!,5
Amazing place to stay,5
Paradise on Santorini,5
You'll love it!,5
A view worth dying for,5
Family vacation,5
TOP!,5
Marvellous hotel,5
Another great stay,5
Two week holiday with my husband,5
Great hotel,5
Two night break,4
Lovely stay,5
Staff made the trip,5
Amazing,5
"Wonderful hotel, the best vacation",5
Travel,5
Amazing,5
Nice and sunny time-out,4
Service second to none!,5
Great experience,5
Highly recommended.,5
My happy place - 2nd stay,5
Lovely,4
Simply spectacular and how five star should be!,5
"Fantastic hotel, excellent value",5
Amazing place to stay!!,5
"Excellent relaxing hotel, great staff",4
Wow! Incredible stay ⭐⭐⭐⭐⭐,5
"Superb hotel, wonderful holiday",5
Just What We Needed,5
2nd Visit as good as the 1st,5
The Atrium Palace is  beautiful oasis.,5
Solo 40th Birthday,5
Valued as a guest.,5
The perfect holiday,5
Wonderful Hotel  Lovely Staff,5
My happy place,5
First time in Rhodes,4
First time to Atrium Palace and Rhodes,5
Amazing time🤩,5
Love it here!,5
Lovely stay,5
Time out at another happy place,5
Palace Paradise,5
"Great service, excellent location",5
100% recommend,5
Paradise. We love this hotel,5
"Come for the pools, stay for the tavernas",5
Lobster evening,5
Lobster Night… Wow!!!,5
Paradise,5
Wonderful stay!,5
Top of the League,5
Best hotel and even more wonderful staff,5
John Doreen Ricky,5
A perfect stay,5
Wonderful vacation and friendly staff,5
Excellence in everything 👌,5
Perfect hotel with exceptional staff,5
"Great family trip, wonderful animation team and staff",5
"Best memorable vacation, sweet staff and animation team!! :)",5
one of the best hotels,5
A trip 'home',5
Lovely relaxing break,5
"wonderful holiday, very helpful staff",4
Best hotel I've ever been to.,5
"Great Hotel, Staff & Manager",5
Fantastic Resort with Enchanted Atmosphere,5
Great hotel with and lovely staff and top class beach,5
So good to be back!,5
Very good hotel with animation and sport.,5
Beautiful hotel with lovely staff,5
Great Holiday ,5
"Amazing hotel, best Pool-bar",5
Paradise of Atrium Palace,5
Excellent,5
Perfect hotel for holidays,5
Outstanding first time visit will be back,5
Maximal relaxing at a great place!,5
Excellent service,5
Slice of paradise at the end of Europe,5
Another amazing holiday!,5
Back again....and better than ever!,5
Great for adults. Families? Hmmmm,4
The most PERFECT holiday/wedding/honeymoon!,5
Very  good time,5
Fantastic holiday!,5
Wonderful Vacationi In Atrium.,5
Memorable relaxing holidays,5
Perfect stay! Magnificent hotel both for families and couples!,5
Wonderful hotel,5
Magnificent!!! 🤩,5
This hotel is one of those I want to visit one more time!,5
"Excellent stay, amazing staff, the perfect destination for families and couples",5
"Great stay, amazing Atrium",5
"The Atrium Palace is an excellent hotel that offers great food and drinks, combined with a high level of service.",5
Very good hotel,4
Fantastic hotel for a young family,5
Fantastic Hotel and staff,5
A 5/5 vacation,5
Amazing hotel,5
"Value for money not there, not real 5*",3
Amazing holidays,5
Perfect Stay👍🏼,5
A magical experience in a fairytale setting!,5
What a stay,5
"Thank you , guys!",5
Best vacation,5
An oasis of hospitality ,5
Good value for money,5
"Luxury, authenticity and relaxation - a true gem!",5
"Lovely and beautiful stay, high standard of service, good facilities",5
Atrium hotels,5
My paradise,5
Magic holidays at a magic place,5
Fantastic Hotel,5
Summer holidays,5
"The most friendliest, helpful, professional and awesomest staff!!!!!!!!! ❤️",5
Thank you very much for making us feel welcome!,5
"Great Resort, great Staff , perfect for relax",5
Big up to the team 🙏,5
An unforgettable experience! Wow!,5
"Great resort, tough to depart . . . ",5
Great resort hotel,5
Μεγάλο ξενοδοχείο με τη ζεστασιά οικογενειακής διαμονής,5
Wonderful,5
Beautiful place,5
Perfect Holiday,5
Excellent vacation at Atrium Palace Hotel,5
Fabulous hotel. Fabulous staff,5
The best place in Greece ever,5
Great place with great service! ,5
☀️!Splendid holiday! ⛱️,5
Dream vacation in Rhodes!,5
Impeccable service but it's not a 5* hotel,3
Great Hotel - best service ever!,5
Wonderful 5 star hotel,5
Outstanding hotel with professional team,5
Heavenly oasis in a stormy world,5
This Hotel has it all!,5
A great short vacation after Covid,5
"Friendly, clean, quite, evertything great - will come back!",5
"Great stay, great staff!!",5
Best stay with amazing staff!!!!,5
Hospitality at it’s best,5
Wow what a resort! and staff that are super friendly,5
Fantastic stay on the last week of the season,5
6 Star Service,5
A very enjoyable stay even with COVID restrictions.,5
We spent 7  fabulous days  all inclusive at Atrium Palace. What a excellent choice.,5
"""a wonderful happy place with finest service""",5
5 STAR HOTEL,5
exceeded initial expectations,5
Amazingly Brilliant,5
Fabulous hotel,5
Not 5 Star 2 star,1
Excellent Hotel,5
"Beautiful hotel, great amenities",5
Great hospitality ,5
Excellent hotel!,5
What lovely people!,5
"The Best Hotel in Rhodes, Best Holiday Ever!",5
A little piece of Paradise,5
Heavenly,5
1st Impressions Last a Lifetime,2
Fantastic Hotel and Staff,5
An honest family review,4
What an amazing hotel!,5
Fantastic,5
Excellent stay in paradise,5
A break in strange times,4
Wonderful honeymoon,5
Last minute get away,5
Relaxing peaceful paradise,5
2 weeks of delux R & R at this brilliant resort,5
Paradise found,5
"Loved this hotel and location, perfect for a relaxing holiday!",5
Wonderful and perfect honeymoon,5
A very decent break ,5
atrium thalasso spa resort rhodos,5
Fabulous hotel ,5
Two week PAI holiday,5
5 Star service from all the Staffs especially sous chef Michael,4
Honest Review,5
+++,5
Best hotel in the area.,5
It was an amazing stay!,5
Outstanding Hotel & resort,5
Here at the moment ,5
A lovely place to stay in Rhodes,5
overall good welcomed break,4
Excellent Hotel,5
Perfect getaway destination,4
Wunderschönes Hotel!!!,5
Very average stay,3
Just Glad to Relax and get away,4
Wonderful holiday,5
